Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
1,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,2317464,USA,,
2,Cochlea,Advanced Bionics HiRes Ultra Cochlear Implant,1599688,USA,,
3,Limbs (Arm/Leg),POWER KNEE by Össur,4166781,Switzerland,,
4,Spine,Myoelectric Control Chips,6038379,UK,,
5,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,3926590,Iceland,,
6,Ankle,Artificial Urinary Sphincter Control System,1245668,Germany,,
7,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,3695204,Switzerland,,
8,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,1138486,USA,,
9,Knee,Artificial Urinary Sphincter Control System,125223,China,,
10,Arm,POWER KNEE by Össur,2938882,USA,,
11,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,2573758,USA,,
12,Eye,Integra LifeSciences Cadence Total Ankle System,3622655,USA,,
13,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,4934748,USA,,
14,Hand,Artificial Pancreas Control Chips,3624636,USA,,
15,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,6309314,Germany,,
16,Leg,Artificial Urinary Sphincter Control System,5386312,USA,,
17,Shoulder,Integra LifeSciences Cadence Total Ankle System,2824165,USA,Hardware Vulnerabilities,7
18,Shoulder,Artificial Pancreas Control Chips,2480598,USA,,
19,Limbs (Arm/Leg),Neuroprosthetic Chips,3288953,Iceland,,
20,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,4448674,USA,,
21,Limbs (Arm/Leg),Neuroprosthetic Chips,228341,China,Software Vulnerabilities,8
22,Hand,Neurostimulator Implants for Chronic Pain,4669604,Iceland,Weak Password Policy,2
23,Pancreas,Myoelectric Control Chips,3830401,USA,,
24,Pancreas,Zimmer Biomet Comprehensive Reverse Shoulder System,6247816,USA,,
25,Foot,Modular Prosthetic Limb Control System,1800223,USA,,
26,Knee,Artificial Pancreas Control Chips,3813508,USA,,
27,Pancreas,i-Limb Ultra Prosthetic Hand Control System,4740062,USA,,
28,Cochlea,i-Limb Ultra Prosthetic Hand Control System,1447033,USA,,
29,Leg,Cochlear Implant Chips,3042158,USA,Hardware Vulnerabilities,1
30,Arm,GENUTECH Genutrain OA Prosthetic Knee Implant,6380722,Iceland,,
31,Limbs (Arm/Leg),Retinal Implant Chips,1253142,USA,,
32,Shoulder,POWER KNEE by Össur,1304133,USA,,
33,Arm,Neurostimulator Implants for Chronic Pain,2371207,USA,Software Vulnerabilities,8
34,Bladder,i-Limb Ultra Prosthetic Hand Control System,3023585,USA,,
35,Spine,Cochlear Implant Chips,4881917,Germany,,
36,Ear,Cochlear Implant Chips,1130006,USA,Hardware Vulnerabilities,2
37,Pancreas,Cardiac Implant Chips,6842597,USA,,
38,Brain,Neuroprosthetic Chips,3352065,USA,,
39,Ankle,POWER KNEE by Össur,210986,China,Weak Password Policy,7
40,Ankle,Cardiac Implant Chips,5213334,Germany,Software Vulnerabilities,6
41,Foot,POWER KNEE by Össur,910733,Germany,,
42,Spine,Artificial Urinary Sphincter Control System,1293282,USA,,
43,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,254060,China,Hardware Vulnerabilities,7
44,Brain,Össur Proprio Foot Prosthetic Foot,6848735,USA,,
45,Limbs (Arm/Leg),Zimmer Biomet Comprehensive Reverse Shoulder System,2358403,USA,,
46,Brain,Cardiac Implant Chips,3406349,UK,,
47,Brain,Artificial Pancreas Control Chips,58428,China,Software Vulnerabilities,7
48,Knee,Zimmer Biomet Comprehensive Reverse Shoulder System,6703150,Germany,Software Vulnerabilities,8
49,Ear,Neurostimulator Implants for Chronic Pain,3744799,USA,,
50,Hip,Neurostimulator Implants for Chronic Pain,1242631,USA,Communication Vulnerabilities,1
51,Hip,POWER KNEE by Össur,6913371,Germany,,
52,Arm,Retinal Implant Chips,3112490,USA,,
53,Ankle,Neurostimulator Implants for Chronic Pain,4709879,USA,,
54,Bladder,i-Limb Ultra Prosthetic Hand Control System,2173963,Iceland,Communication Vulnerabilities,8
55,Heart,Artificial Urinary Sphincter Control System,3002758,Iceland,,
56,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,4881982,USA,,
57,Eye,POWER KNEE by Össur,1571911,Germany,,
58,Leg,Artificial Pancreas Control Chips,3654767,USA,Weak Password Policy,8
59,Ear,i-Limb Ultra Prosthetic Hand Control System,4788991,USA,,
60,Knee,Myoelectric Control Chips,946469,USA,,
61,Ear,Myoelectric Control Chips,6201884,UK,,
62,Hip,Myoelectric Control Chips,5182520,Germany,,
